population,family,individual,individulal_code,location_code,x_coord,y_coord,block,previous_damage,current_damage,total_damage
Q,f,30,Q_f_30,527,17,7,2,3,0,3
S,b,11,S_b_11,528,17,8,2,47,1,48
G,d,4,G_d_4,529,17,1,3,8,3,11
B,b,11,B_b_11,530,17,2,3,4,15,19
T,g,23,T_g_23,531,17,3,3,4,2,6
A,f,20,A_f_20,532,17,4,3,6,5,11
S,g,12,S_g_12,533,17,5,3,25,0,25
L,j,30,L_j_30,534,17,6,3,17,0,17
F,f,20,F_f_20,535,17,7,3,37,0,37
U,c,18,U_c_18,536,17,8,3,10,10,20
A,i,30,A_i_30,537,17,1,4,0,0,0
D,c,27,D_c_27,538,17,2,4,0,0,0
T,g,12,T_g_12,539,17,3,4,5,0,5
L,h,23,L_h_23,540,17,4,4,4,0,4
P,h,1,P_h_1,541,17,5,4,1,0,1
G,b,4,G_b_4,542,17,6,4,2,2,4
Q,d,20,Q_d_20,543,17,7,4,0,1,1
J,h,19,J_h_19,544,17,8,4,0,0,0
A,f,30,A_f_30,545,18,1,1,3,0,3
I,i,1,I_i_1,546,18,2,1,4,1,5
R,b,12,R_b_12,547,18,3,1,10,2,12
S,i,27,S_i_27,548,18,4,1,52,0,52
H,j,12,H_j_12,549,18,5,1,11,0,11
T,e,19,T_e_19,550,18,6,1,1,0,1
J,f,30,J_f_30,551,18,7,1,14,1,15
R,e,20,R_e_20,552,18,8,1,11,1,12
N,b,1,N_b_1,553,18,1,2,2,0,2
K,d,11,K_d_11,554,18,2,2,1,0,1
B,b,1,B_b_1,555,18,3,2,0,0,0
E,i,1,E_i_1,556,18,4,2,0,0,0
T,h,19,T_h_19,557,18,5,2,3,1,4
N,i,1,N_i_1,558,18,6,2,1,0,1
F,b,1,F_b_1,559,18,7,2,6,0,6
K,f,23,K_f_23,560,18,8,2,20,0,20
U,a,23,U_a_23,561,18,1,3,0,0,0
T,a,11,T_a_11,562,18,2,3,2,2,4
R,f,20,R_f_20,563,18,3,3,10,4,14
T,e,23,T_e_23,564,18,4,3,28,1,29
T,h,1,T_h_1,565,18,5,3,29,14,43
R,g,12,R_g_12,566,18,6,3,72,20,92
L,f,20,L_f_20,567,18,7,3,55,26,81
I,d,20,I_d_20,568,18,8,3,30,0,30
U,a,19,U_a_19,569,18,1,4,0,0,0
N,f,23,N_f_23,570,18,2,4,4,0,4
O,d,23,O_d_23,571,18,3,4,0,1,1
I,d,19,I_d_19,572,18,4,4,0,0,0
M,b,30,M_b_30,573,18,5,4,0,1,1
J,g,23,J_g_23,574,18,6,4,3,0,3
B,g,18,B_g_18,575,18,7,4,0,3,3
I,g,4,I_g_4,576,18,8,4,1,0,1
U,f,30,U_f_30,577,19,1,1,9,0,9
E,c,18,E_c_18,578,19,2,1,26,0,26
