,GBIF.common.name,LPI.common.name,species,Common.Name,id,Units,n,intercept,slope,intercept_SE,slope_SE,intercept_p,slope_p,meanpop,row,downloader,data.available,geographic.range,species.LPI,species.GBIF,maxlat,minlat,maxlong,minlong,countoccur,lengthlat,lengthlong,range
246,Tawny owl,Tawny owl,Strix aluco,Tawny owl,447,Index,33,48.44973545,-0.024074074,2.304908787,0.001159979,1.11E-20,1.65E-20,100.3714286,194,Isla,yes,Europe,Strix aluco,Strix aluco,80.38392,-4.075,127.10457,-90.37315,208843,84.45892,217.47772,18367.93336
247,Tree sparrow / Eurasian tree sparrow,Tree sparrow / Eurasian tree sparrow,Passer montanus,Tree sparrow / Eurasian tree sparrow,420,Index,33,72.18533166,-0.036157667,6.028665228,0.003034015,1.48E-13,1.68E-13,1020.6,197,Isla,yes,partWorld,Passer montanus,Passer montanus,80.38392,-38.91,167.741,-173.237,615898,119.29392,340.978,40676.60225
248,Tundra swan / Bewick's swan,Tundra swan / Bewick's swan,Cygnus columbianus,Tundra swan / Bewick's swan,12222,Population index,21,-80.08862419,0.040643834,9.199350918,0.004643765,2.07E-08,1.89E-08,162.2107783,199,Isla,yes,partEurope,Cygnus columbianus,Cygnus columbianus,69.4,50.31667,158.5,-176.75,265,19.08333,335.25,6397.686383
249,Tundra swan / Bewick's swan,Tundra swan / Bewick's swan,Cygnus columbianus,Tundra swan / Bewick's swan,12647,WeBS index,28,-41.24755743,0.021030288,9.639601135,0.0048574,0.000198074,0.000172701,2866.733333,199,Isla,yes,partEurope,Cygnus columbianus,Cygnus columbianus,69.4,50.31667,158.5,-176.75,265,19.08333,335.25,6397.686383
250,Western marsh harrier,Western marsh harrier,Circus aeruginosus,Western marsh harrier,317,Number of breeding pairs,26,-69.14128916,0.035007566,6.26923404,0.003160667,2.66E-11,2.42E-11,50.35714286,204,Isla,yes,partWorld,Circus aeruginosus,Circus aeruginosus,85.0083,-43.15,175.25,-179,237638,128.1583,354.25,45400.07778
251,White wagtail / Pied wagtail,White-tailed eagle,Haliaeetus albicilla,White-tailed eagle,5139,Number of territorial pairs,29,-54.57262407,0.027487593,3.761434677,0.001883524,7.91E-15,6.81E-15,21.80645161,206,Isla,yes,partWorld,Haliaeetus albicilla,Haliaeetus albicilla,80.38392,-17.2917,177.535,-171.744,177089,97.67562,349.279,34116.04288
252,Whooper swan,Whooper swan,Cygnus cygnus,Whooper swan,1282,Population estimate,27,-64.91233888,0.032863171,6.648820262,0.003344447,2.37E-10,2.07E-10,21204.65517,209,Isla,yes,partWorld,Cygnus cygnus,Cygnus cygnus,80.38392,-73.975,179.0465,-176.644,942106,154.35892,355.6905,54904.00143
253,Willow grouse / Red grouse / Willow ptarmigan,Willow grouse / Red grouse / Willow ptarmigan,Lagopus lagopus,Willow grouse / Red grouse / Willow ptarmigan,6022,Hens per km,13,-29.5010352,0.015139752,40.63855471,0.020483094,0.480743355,0.472961168,32.66666667,211,Isla,yes,partWorld,Lagopus lagopus,Lagopus lagopus,81.5,-60.0083,178.25,-179.60449,57770,141.5083,357.85449,50639.38053
254,Willow tit,Willow tit,Parus montanus,Willow tit,414,Index,33,60.70172774,-0.030319937,2.232541146,0.001123559,3.59E-24,4.56E-24,392.8,212,Isla,yes,partWorld,Parus montanus,Parus montanus,80.38392,30.0495,170.4239,-105.57724,154317,50.33442,276.00114,13892.3573
255,Wood lark,Wood lark,Lullula arborea,Wood lark,9143,Woodlark density (territories haŠ—–1),31,-52.45373111,0.02655077,6.244635899,0.003142565,1.73E-09,1.52E-09,0.068030303,215,Isla,yes,Europe,Lullula arborea,Lullula arborea,80.38392,0,135.137,-31.25322,128000,80.38392,166.39022,13375.09813
256,Wood nuthatch / Eurasian nuthatch,Wood nuthatch / Eurasian nuthatch,Sitta europaea,Wood nuthatch / Eurasian nuthatch,443,Index,33,-55.31999816,0.028057124,1.677483762,0.000844218,7.68E-27,5.99E-27,69.2,217,Isla,yes,partWorld,Sitta europaea,Sitta europaea,80.38392,18.83234,170.4239,-31.25322,524453,61.55158,201.67712,12413.54539
