,GBIF.common.name,LPI.common.name,species,Common.Name,id,Units,n,intercept,slope,intercept_SE,slope_SE,intercept_p,slope_p,meanpop,row,downloader,data.available,geographic.range,species.LPI,species.GBIF,maxlat,minlat,maxlong,minlong,countoccur,lengthlat,lengthlong,range
115,Great skua,Great skua,Catharacta skua,Great skua,12094,Number of apparently occupied territories,15,-54.10865567,0.027391523,10.39821915,0.00524021,0.000107005,0.000102299,62.94117647,93,John,Yes,partWorld,Catharacta skua,Stercorarius skua,77.525,-77.967,158.966,-117.8167,1977,155.492,276.7827,43037.49559
116,Great skua,Great skua,Catharacta skua,Great skua,12100,Number of apparently occupied territories,19,-103.0896722,0.052285377,8.563985869,0.004325225,2.46E-10,2.29E-10,40.52380952,93,John,Yes,partWorld,Catharacta skua,Stercorarius skua,77.525,-77.967,158.966,-117.8167,1977,155.492,276.7827,43037.49559
117,Great spotted woodpecker,Great spotted woodpecker,Dendrocopos major,Great spotted woodpecker,342,Index,33,-36.8520857,0.018744795,4.026666625,0.002026479,1.42E-10,1.10E-10,61.14285714,94,John,Yes,partWorld,Dendrocopos major,Dendrocopos major,89.0083,-60.41445,174.1105,-169.607,797434,149.42275,343.7175,51359.21407
118,Greater horseshoe bat,Greater horseshoe bat,Rhinolophus ferrumequinum,Greater horseshoe bat,4798,Population Index,13,-127.4487852,0.063848397,28.54106406,0.014242015,0.000636317,0.000616061,106.6666667,97,Claudia,Yes,partWorld,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,53.26132,-0.25,141.38222,-9.18,13047,53.51132,150.56222,8056.783134
119,Greater horseshoe bat,Greater horseshoe bat,Rhinolophus ferrumequinum,Greater horseshoe bat,7739,Index 1999=100,13,-129.0373966,0.064644236,28.37904252,0.014161166,0.000548209,0.000530537,105.8,97,Claudia,Yes,partWorld,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,53.26132,-0.25,141.38222,-9.18,13047,53.51132,150.56222,8056.783134
120,Greater white-fronted goose / White-fronted goose,Greater white-fronted goose / White-fronted goose,Anser albifrons,Greater white-fronted goose / White-fronted goose,5145,Index,30,54.1205869,-0.026899701,6.984851541,0.00351082,1.21E-08,1.51E-08,241.7259375,99,Claudia,Yes ,World,Anser albifrons,Anser albifrons,80.38392,-29.36667,179,-177.379,253104,109.75059,356.379,39112.80551
121,Greater white-fronted goose / White-fronted goose,Greater white-fronted goose / White-fronted goose,Anser albifrons,Greater white-fronted goose / White-fronted goose,1596,Peak winter numbers (from graphic),25,3.952010952,-0.001905502,10.70957039,0.005400649,0.715222188,0.727174668,7722.222222,99,Claudia,Yes ,World,Anser albifrons,Anser albifrons,80.38392,-29.36667,179,-177.379,253104,109.75059,356.379,39112.80551
122,Greenshank / Common greenshank,Greenshank / Common greenshank,Tringa nebularia,Greenshank / Common greenshank,6065,Breeding females,11,-37.54615385,0.019230769,42.47433114,0.021495068,0.395620834,0.390125318,16.53846154,101,Claudia,Yes ,World,Tringa nebularia,Tringa nebularia,80.38392,-54.5,177.042,-176.644,445465,134.88392,353.686,47706.55413
123,Grey heron,Grey heron,Ardea cinerea,Grey heron,10976,Index,15,-53.07860921,0.026746135,34.88547979,0.017425262,0.148930886,0.145627719,112.4806118,102,Claudia,Yes ,World,Ardea cinerea,Ardea cinerea,80.38392,-70.0583,153,-170.297,894236,150.44222,323.297,48637.5184
124,Grey partridge,Grey partridge,Perdix perdix,Grey partridge,422,Index,33,65.4668299,-0.032761824,4.461350944,0.002245241,5.08E-16,5.97E-16,368.5142857,103,Claudia,Yes,partWorld,Perdix perdix,Perdix perdix,80.38392,-3.5083,131.126,-123.60266,132995,83.89222,254.72866,21369.75279
125,Grey plover / Black-bellied plover,Grey plover / Black-bellied plover,Pluvialis squatarola,Grey plover / Black-bellied plover,6047,Index 1973 = 100,19,-95.20995287,0.04826286,7.884931681,0.00398026,2.33E-10,2.17E-10,236.1952381,104,Claudia,Yes ,World,Pluvialis squatarola,Pluvialis squatarola,82.5291,-70.0583,178.784,-177.376,490891,152.5874,356.16,54345.52838
126,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1953,Pup production estimates for islands in the Orkney group,28,-60.62892468,0.030640702,9.157245525,0.004610772,3.50E-07,3.28E-07,131.8,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
127,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1954,Pup production estimates for islands in the Outer Hebrides group,26,51.32383705,-0.025634779,6.57848896,0.003310969,2.82E-08,3.25E-08,127.3214286,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
128,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1955,Pup production estimates for islands in the Outer Hebrides group,26,-42.74489132,0.021698768,6.611302088,0.003327484,7.49E-07,6.51E-07,861.1785714,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
129,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1952,Pup production estimates,28,0.993731231,-0.000276082,9.993085664,0.005031627,0.921495991,0.956632137,167.0333333,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
130,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1957,Pup production estimates for islands in the Orkney group,28,-50.63675032,0.025586833,8.020404881,0.004038361,7.91E-07,7.45E-07,456.0666667,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
131,Grey seal,Grey seal,Halichoerus grypus,Grey seal,1958,Pup production estimates for islands in the Outer Hebrides group,26,12.64601413,-0.006175883,8.06226958,0.004057759,0.128846019,0.14008128,366.6785714,105,Claudia,Yes,UK,Halichoerus grypus,Halichoerus grypus,74.64909,32.5592,31.16715,-80.2925,65042,42.08989,111.45965,4691.324408
